id,matricula_discente,nombre_discente,apellido_paterno_discente,apellido_materno_discente,grado_escolar,plantel,CURP,RFC,cartilla_militar,generacion,sexo,fecha_nacimiento,nacionalidad,entidad_nacimiento,nombre_tutor,nombre_padre,nombre_madre,escuela_procedencia,tipo_escuela_procedencia,entidad_federativa_escuela,promedio_secundaria,promedio_bachillerato,foto,practica_deporte,nombre_deporte,nombre_entrenador,categoria,fecha_inicio,lugar,horario_deporte,asociacion,peso,estatura,tipo_sangre,padece_enfermedad,descripcion_enfermedad,problema_fisico,descripcion_problema,operacion_fisica,descripcion_operacion,tatuajes,pie_plano,lentes,carrera,promedio,foto_horario,fk_id_domicilio
19,19,nombre19,apellidoPaterno19,apellidoMaterno19,BACHILLERATO,CECYT,AAST770826MCHLNR86,AAST770843,SAML770826MCSNRT99,91 (2016 - 2022),Masculino,1999-01-02,Mexicano,CHIHUAHUA,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,INGENIERIA Y CIENCIAS FISICO MATEMATICA,CHIHUAHUA,9.992572752,9.186617771,,NO,Alterofilia,Demetrio Sanchis,Juvenil,2022-06-18,Ciudad de Mexico,Matutino,,85.79667338,1.756442454,AB+,NO,,NO,,NO,,NO,SI,SI,Ingenieria en sistemas computacionales,9.605348906,,0
20,20,nombre20,apellidoPaterno20,apellidoMaterno20,BACHILLERATO,CECYT,AAST770826MCHLNR87,AAST770844,SAML770826MCSNRT100,92 (2016 - 2022),Masculino,1999-01-03,Mexicano,NUEVO LEON,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,INGENIERIA Y CIENCIAS FISICO MATEMATICA,NUEVO LEON,2.617895661,5.261764504,,NO,Natacion,Demetrio Sanchis,Juvenil,2022-06-19,Ciudad de Mexico,Matutino,,84.14848514,1.910947355,AB+,NO,,NO,,NO,,SI,SI,NO,Ingenieria en sistemas computacionales,4.873051412,,0
21,21,nombre21,apellidoPaterno21,apellidoMaterno21,BACHILLERATO,CECYT,AAST770826MCHLNR88,AAST770845,SAML770826MCSNRT101,93 (2016 - 2022),Femenino,1999-01-04,Mexicano,BAJA CALIFORNIA SUR,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS MEDICO BIOLOGICAS,BAJA CALIFORNIA SUR,4.483805252,6.395075161,,NO,Natacion,Demetrio Sanchis,Juvenil,2022-06-20,Ciudad de Mexico,Matutino,,84.85827951,1.608201815,AB+,NO,,NO,,NO,,SI,NO,SI,Ingenieria en sistemas computacionales,7.76986098,,0
22,22,nombre22,apellidoPaterno22,apellidoMaterno22,BACHILLERATO,CECYT,AAST770826MCHLNR89,AAST770846,SAML770826MCSNRT102,94 (2016 - 2022),Femenino,1999-01-05,Mexicano,ZACATECAS,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS MEDICO BIOLOGICAS,ZACATECAS,9.707253462,9.156073543,,NO,Natacion,Demetrio Sanchis,Juvenil,2022-06-21,Ciudad de Mexico,Matutino,,94.53628684,1.682308827,A-,NO,,NO,,NO,,SI,NO,SI,Ingenieria en sistemas computacionales,0.384895328,,0
23,23,nombre23,apellidoPaterno23,apellidoMaterno23,BACHILLERATO,CECYT,AAST770826MCHLNR90,AAST770847,SAML770826MCSNRT103,95 (2016 - 2022),Femenino,1999-01-06,Mexicano,JALISCO,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS MEDICO BIOLOGICAS,JALISCO,3.634700104,0.426064103,,NO,Futbol,Demetrio Sanchis,Juvenil,2022-06-22,Ciudad de Mexico,Matutino,,90.31970453,1.927339333,A-,NO,,NO,,NO,,SI,NO,SI,Ingenieria en sistemas computacionales,9.938643917,,0
24,24,nombre24,apellidoPaterno24,apellidoMaterno24,BACHILLERATO,CECYT,AAST770826MCHLNR91,AAST770848,SAML770826MCSNRT104,96 (2016 - 2022),Femenino,1999-01-07,Mexicano,MICHOACAN,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,INGENIERIA Y CIENCIAS FISICO MATEMATICA,MICHOACAN,4.870067831,4.918490442,,NO,Futbol,Demetrio Sanchis,Juvenil,2022-06-23,Ciudad de Mexico,Matutino,,85.71998747,1.751001979,A-,NO,,NO,,NO,,NO,NO,SI,Ingenieria en sistemas computacionales,9.768829867,,0
25,25,nombre25,apellidoPaterno25,apellidoMaterno25,BACHILLERATO,CECYT,AAST770826MCHLNR92,AAST770849,SAML770826MCSNRT105,97 (2016 - 2022),Femenino,1999-01-08,Mexicano,AGUASCALIENTES,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,INGENIERIA Y CIENCIAS FISICO MATEMATICA,AGUASCALIENTES,1.942659345,2.987558973,,SI,Futbol,Demetrio Sanchis,Juvenil,2022-06-24,Ciudad de Mexico,Matutino,,77.39119436,1.628876798,A-,NO,,NO,,NO,,SI,NO,SI,Ingenieria en sistemas computacionales,4.398308862,,0
26,26,nombre26,apellidoPaterno26,apellidoMaterno26,BACHILLERATO,CECYT,AAST770826MCHLNR93,AAST770850,SAML770826MCSNRT106,98 (2016 - 2022),Femenino,1999-01-09,Mexicano,OAXACA,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS MEDICO BIOLOGICAS,OAXACA,4.609826987,1.857402802,,SI,Futbol,Demetrio Sanchis,Juvenil,2022-06-25,Ciudad de Mexico,Matutino,,88.68325334,1.823033199,A-,NO,,NO,,NO,,NO,NO,SI,Ingenieria en sistemas computacionales,2.83393825,,0
27,27,nombre27,apellidoPaterno27,apellidoMaterno27,BACHILLERATO,CECYT,AAST770826MCHLNR94,AAST770851,SAML770826MCSNRT107,99 (2016 - 2022),Femenino,1999-01-10,Mexicano,GUERRERO,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS MEDICO BIOLOGICAS,GUERRERO,4.663628755,9.447369425,,SI,Futbol,Demetrio Sanchis,Juvenil,2022-06-26,Ciudad de Mexico,Matutino,,80.0384038,1.904043174,A-,NO,,NO,,NO,,NO,NO,SI,Ingenieria en sistemas computacionales,4.173783663,,0
28,28,nombre28,apellidoPaterno28,apellidoMaterno28,BACHILLERATO,CECYT,AAST770826MCHLNR95,AAST770852,SAML770826MCSNRT108,100 (2016 - 2022),Femenino,1999-01-11,Mexicano,CHIAPAS,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,INGENIERIA Y CIENCIAS FISICO MATEMATICA,CHIAPAS,6.126568741,1.666928868,,SI,Futbol,Demetrio Sanchis,Juvenil,2022-06-27,Ciudad de Mexico,Matutino,,93.84557381,1.892035607,A-,NO,,NO,,NO,,SI,SI,SI,Ingenieria en sistemas computacionales,2.407969601,,0
29,29,nombre29,apellidoPaterno29,apellidoMaterno29,BACHILLERATO,CECYT,AAST770826MCHLNR96,AAST770853,SAML770826MCSNRT109,101 (2016 - 2022),Femenino,1999-01-12,Mexicano,QUINTANA ROO,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,INGENIERIA Y CIENCIAS FISICO MATEMATICA,QUINTANA ROO,8.318387112,3.151595749,,NO,Futbol,Demetrio Sanchis,Juvenil,2022-06-28,Ciudad de Mexico,Matutino,,77.51687447,1.834231387,A-,NO,,NO,,NO,,SI,SI,SI,Ingenieria en sistemas computacionales,8.611271958,,0
30,30,nombre30,apellidoPaterno30,apellidoMaterno30,BACHILLERATO,CECYT,AAST770826MCHLNR97,AAST770854,SAML770826MCSNRT110,102 (2016 - 2022),Femenino,1999-01-13,Mexicano,TABASCO,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS SOCIALES Y ADMINISTRATIVAS,TABASCO,7.286331025,2.835346605,,NO,Futbol,Demetrio Sanchis,Juvenil,2022-06-29,Ciudad de Mexico,Matutino,,81.69199659,1.778192537,A-,NO,,NO,,NO,,SI,SI,SI,Ingenieria en sistemas computacionales,9.064528369,,0
31,31,nombre31,apellidoPaterno31,apellidoMaterno31,BACHILLERATO,CECYT,AAST770826MCHLNR98,AAST770855,SAML770826MCSNRT111,103 (2016 - 2022),Femenino,1999-01-14,Mexicano,SAN LUIS POTOSI,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS SOCIALES Y ADMINISTRATIVAS,SAN LUIS POTOSI,3.227964222,7.460985603,,NO,Futbol,Demetrio Sanchis,Juvenil,2022-06-30,Ciudad de Mexico,Matutino,,83.59956634,1.833593653,AB+,NO,,NO,,NO,,SI,NO,SI,Ingenieria en sistemas computacionales,6.419934684,,0
32,32,nombre32,apellidoPaterno32,apellidoMaterno32,BACHILLERATO,CECYT,AAST770826MCHLNR99,AAST770856,SAML770826MCSNRT112,104 (2016 - 2022),Femenino,1999-01-15,Mexicano,DURANGO,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS SOCIALES Y ADMINISTRATIVAS,DURANGO,5.633668027,0.645064769,,NO,Futbol,Demetrio Sanchis,Juvenil,2022-07-01,Ciudad de Mexico,Matutino,,78.74236016,1.762800131,AB+,NO,,NO,,NO,,SI,NO,NO,Ingenieria en sistemas computacionales,1.261394816,,0
33,33,nombre33,apellidoPaterno33,apellidoMaterno33,BACHILLERATO,CECYT,AAST770826MCHLNR100,AAST770857,SAML770826MCSNRT113,105 (2016 - 2022),Femenino,1999-01-16,Mexicano,BAJA CALIFORNIA NORTE,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS MEDICO BIOLOGICAS,BAJA CALIFORNIA NORTE,2.495733373,6.442021469,,NO,Futbol,Demetrio Sanchis,Juvenil,2022-07-02,Ciudad de Mexico,Vespertino,,86.55811545,1.841872757,A-,NO,,NO,,NO,,SI,NO,SI,Ingenieria en sistemas computacionales,1.281932272,,0
34,34,nombre34,apellidoPaterno34,apellidoMaterno34,BACHILLERATO,CECYT,AAST770826MCHLNR101,AAST770858,SAML770826MCSNRT114,106 (2016 - 2022),Femenino,1999-01-17,Mexicano,CIUDAD DE MEXICO,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS MEDICO BIOLOGICAS,CIUDAD DE MEXICO,4.715080947,2.040271444,,NO,Futbol,Demetrio Sanchis,Juvenil,2022-07-03,Ciudad de Mexico,Vespertino,,82.33921966,1.734761722,A-,NO,,NO,,NO,,NO,NO,NO,Ingenieria en sistemas computacionales,2.142640553,,0
35,35,nombre35,apellidoPaterno35,apellidoMaterno35,BACHILLERATO,CECYT,AAST770826MCHLNR102,AAST770859,SAML770826MCSNRT115,107 (2016 - 2022),Femenino,1999-01-18,Mexicano,SAN LUIS POTOSI,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS MEDICO BIOLOGICAS,SAN LUIS POTOSI,3.95264121,2.511286364,,NO,Futbol,Demetrio Sanchis,Juvenil,2022-07-04,Ciudad de Mexico,Vespertino,,92.49115849,1.775997617,A-,NO,,NO,,NO,,SI,NO,SI,Ingenieria en sistemas computacionales,0.225693656,,0
36,36,nombre36,apellidoPaterno36,apellidoMaterno36,BACHILLERATO,CECYT,AAST770826MCHLNR103,AAST770860,SAML770826MCSNRT116,108 (2016 - 2022),Femenino,1999-01-19,Mexicano,VERACRUZ,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS MEDICO BIOLOGICAS,VERACRUZ,0.766553908,2.270573193,,SI,Futbol,Demetrio Sanchis,Juvenil,2022-07-05,Ciudad de Mexico,Vespertino,,79.14264624,1.712622448,A-,NO,,NO,,NO,,NO,NO,SI,Ingenieria en sistemas computacionales,2.252968489,,0
37,37,nombre37,apellidoPaterno37,apellidoMaterno37,BACHILLERATO,CECYT,AAST770826MCHLNR104,AAST770861,SAML770826MCSNRT117,109 (2016 - 2022),Femenino,1999-01-20,Mexicano,PUEBLA,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS MEDICO BIOLOGICAS,PUEBLA,5.550923314,6.305208815,,SI,Futbol,Demetrio Sanchis,Juvenil,2022-07-06,Ciudad de Mexico,Vespertino,,78.06111414,1.880922956,O+,NO,,NO,,NO,,NO,NO,SI,Ingenieria en sistemas computacionales,6.161849718,,0
38,38,nombre38,apellidoPaterno38,apellidoMaterno38,BACHILLERATO,CECYT,AAST770826MCHLNR105,AAST770862,SAML770826MCSNRT118,110 (2016 - 2022),Femenino,1999-01-21,Mexicano,ZACATECAS,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS SOCIALES Y ADMINISTRATIVAS,ZACATECAS,3.230669175,7.955000436,,SI,Futbol,Demetrio Sanchis,Juvenil,2022-07-07,Ciudad de Mexico,Vespertino,,75.60367952,1.785236545,O+,NO,,NO,,NO,,SI,SI,SI,Ingenieria en sistemas computacionales,1.41965858,,0
39,39,nombre39,apellidoPaterno39,apellidoMaterno39,BACHILLERATO,CECYT,AAST770826MCHLNR106,AAST770863,SAML770826MCSNRT119,111 (2016 - 2022),Masculino,1999-01-22,Mexicano,JALISCO,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS SOCIALES Y ADMINISTRATIVAS,JALISCO,2.363638626,6.310559162,,NO,Futbol,Demetrio Sanchis,Juvenil,2022-07-08,Ciudad de Mexico,Vespertino,,89.91474945,1.782610438,O+,NO,,NO,,NO,,SI,SI,SI,Ingenieria en sistemas computacionales,9.225818273,,0
40,40,nombre40,apellidoPaterno40,apellidoMaterno40,BACHILLERATO,CECYT,AAST770826MCHLNR107,AAST770864,SAML770826MCSNRT120,112 (2016 - 2022),Masculino,1999-01-23,Mexicano,PUEBLA,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS SOCIALES Y ADMINISTRATIVAS,PUEBLA,0.735382743,7.787020883,,NO,Futbol,Demetrio Sanchis,Juvenil,2022-07-09,Ciudad de Mexico,Vespertino,,77.01957438,1.806647844,O+,NO,,NO,,NO,,SI,NO,SI,Ingenieria en sistemas computacionales,7.409104351,,0
41,41,nombre41,apellidoPaterno41,apellidoMaterno41,BACHILLERATO,CECYT,AAST770826MCHLNR108,AAST770865,SAML770826MCSNRT121,113 (2016 - 2022),Femenino,1999-01-24,Mexicano,ESTADO DE MEXICO,Erik Puente,Lucas Campillo,Maria Amparo Garcia,Escuela Oficial Rural Mixta NINOS HEROES,CIENCIAS SOCIALES Y ADMINISTRATIVAS,ESTADO DE MEXICO,3.859994938,8.831059451,,NO,Natacion,Demetrio Sanchis,Juvenil,2022-07-10,Ciudad de Mexico,Vespertino,,81.38794369,1.693712507,O+,NO,,NO,,NO,,SI,NO,SI,Ingenieria en sistemas computacionales,9.719237709,,0
